#EXP	Sun Feb 27 19:55:01 2000		S:\MOUSE PARADIGM 2004\sample_data\107a.out [skipped records from 0 to 3]
"G R O U P"	" M.DIST  "	"   SD    "	"M.V(pix/s)"	"   SD    "	"M.A(pix/s^2)"	"   SD   "	"N:sub1"	"M.DIST1"	"   SD   "	"M.V(pix/s)1"	"   SD   "	"M.A(pix/s^2)1"	"   SD  "	"N:sub2"	"M.DIST2"	"   SD   "	"M.V(pix/s)2"	"   SD   "	"M.A(pix/s^2)2"	"   SD  "	"WHOLE TIME"	"REST TIME"	"REST TIME 1"	"REST TIME 2"	
   4- 600	 152.566	 117.624	  55.055	 122.551	   517.247	  1201.550	   553	 123.102	  53.308	  46.262	  80.820	   401.131	   642.535	    44	 522.869	  61.699	 165.573	 332.900	  1976.614	  3515.414	[59.7/59.7]	8.8	7.7	1.1	
   4- 202	  87.301	  33.606	  41.959	  69.409	   385.867	   599.347	   192	  82.472	  21.288	  35.688	  57.456	   358.262	   557.998	     7	 219.752	  40.361	 213.965	 134.600	  1143.019	  1117.692	[19.9/19.9]	5.3	5.3	0	
 203- 401	 167.451	  52.214	  54.005	  80.245	   508.285	   709.536	    76	 111.416	  34.597	  64.286	 105.155	   634.026	   948.575	   123	 202.074	  22.895	  47.652	  59.550	   430.591	   497.969	[19.9/19.9]	0.6	0.1	0.5	
 402- 600	 202.946	 175.316	  69.203	 183.238	   657.591	  1856.305	   155	 112.129	  30.162	  41.846	  93.909	   283.159	   584.427	    44	 522.869	  61.699	 165.573	 332.900	  1976.614	  3515.414	[19.9/19.9]	2.9	1.8	1.1	

