#EXP	Sun Feb 27 15:37:27 2000		S:\MOUSE PARADIGM 2004\sample_data\102A.out [skipped records from 0 to 3]
"G R O U P"	" M.DIST  "	"   SD    "	"M.V(pix/s)"	"   SD    "	"M.A(pix/s^2)"	"   SD   "	"N:sub1"	"M.DIST1"	"   SD   "	"M.V(pix/s)1"	"   SD   "	"M.A(pix/s^2)1"	"   SD  "	"N:sub2"	"M.DIST2"	"   SD   "	"M.V(pix/s)2"	"   SD   "	"M.A(pix/s^2)2"	"   SD  "	"WHOLE TIME"	"REST TIME"	"REST TIME 1"	"REST TIME 2"	
   4-1770	  98.904	  47.987	  39.605	  67.488	   320.360	   559.876	  1389	  80.487	  32.735	  35.322	  58.391	   284.324	   443.005	   378	 166.580	  31.619	  55.345	  92.013	   452.775	   850.561	[176.7/176.7]	23.9	19.5	4.4	
   4- 592	  84.732	  46.162	  48.639	  86.810	   422.463	   786.725	   363	  54.393	  25.793	  46.341	  77.314	   379.690	   603.383	   226	 133.462	  25.065	  52.331	 100.274	   491.165	  1011.950	[58.9/58.9]	5.2	1.9	3.3	
 593-1181	 122.265	  52.007	  41.814	  63.401	   302.238	   431.673	   387	  90.679	  25.854	  30.050	  50.658	   237.666	   353.416	   202	 182.779	  32.056	  64.352	  77.806	   425.948	   530.892	[58.9/58.9]	12.7	11.2	1.5	
1182-1770	  89.716	  35.327	  28.363	  43.707	   236.378	   344.002	   241	  53.794	  20.772	  30.884	  51.000	   239.975	   380.018	   348	 114.594	  17.303	  26.617	  37.824	   233.886	   317.219	[58.9/58.9]	6	2.3	3.7	

