#EXP	Sun Feb 27 15:59:14 2000		S:\MOUSE PARADIGM 2004\sample_data\103A.out [skipped records from 0 to 3]
"G R O U P"	" M.DIST  "	"   SD    "	"M.V(pix/s)"	"   SD    "	"M.A(pix/s^2)"	"   SD   "	"N:sub1"	"M.DIST1"	"   SD   "	"M.V(pix/s)1"	"   SD   "	"M.A(pix/s^2)1"	"   SD  "	"N:sub2"	"M.DIST2"	"   SD   "	"M.V(pix/s)2"	"   SD   "	"M.A(pix/s^2)2"	"   SD  "	"WHOLE TIME"	"REST TIME"	"REST TIME 1"	"REST TIME 2"	
   4-1500	 191.354	 108.290	  23.478	  55.978	   225.620	   564.341	   955	 116.442	  42.501	  22.198	  57.476	   220.804	   615.521	   542	 323.349	  43.367	  25.734	  53.215	   234.106	   460.947	[149.7/149.7]	71.3	54.9	16.4	
   4- 502	 248.047	 118.287	  33.706	  78.341	   343.689	   845.247	   203	 115.967	  46.098	  44.909	  98.621	   511.762	  1152.960	   296	 338.629	  43.901	  26.022	  59.624	   228.422	   512.894	[49.9/49.9]	22.2	12	10.2	
 503-1001	 135.351	  62.541	  18.742	  36.080	   151.391	   267.696	   437	 115.784	  35.388	  17.187	  34.878	   136.984	   256.341	    62	 273.266	  30.103	  29.700	  42.346	   252.937	   321.555	[49.9/49.9]	23.1	22.4	0.7	
1002-1500	 190.664	 104.691	  17.988	  42.623	   181.781	   386.267	   308	 115.334	  46.797	  12.847	  39.808	   139.821	   366.995	   191	 312.140	  33.998	  26.279	  45.709	   249.444	   407.415	[49.9/49.9]	26	20.5	5.5	

