#EXP	Sun Feb 27 16:14:09 2000		S:\MOUSE PARADIGM 2004\sample_data\104A.out [skipped records from 0 to 3]
"G R O U P"	" M.DIST  "	"   SD    "	"M.V(pix/s)"	"   SD    "	"M.A(pix/s^2)"	"   SD   "	"N:sub1"	"M.DIST1"	"   SD   "	"M.V(pix/s)1"	"   SD   "	"M.A(pix/s^2)1"	"   SD  "	"N:sub2"	"M.DIST2"	"   SD   "	"M.V(pix/s)2"	"   SD   "	"M.A(pix/s^2)2"	"   SD  "	"WHOLE TIME"	"REST TIME"	"REST TIME 1"	"REST TIME 2"	
   4- 690	  54.114	  48.703	  45.384	  81.771	   466.603	   791.645	   479	  25.680	  23.593	  39.508	  77.000	   431.316	   780.627	   208	 119.593	  19.912	  58.915	  90.577	   547.865	   812.535	[68.7/68.7]	23.7	16	7.7	
   4- 232	  20.745	  20.352	  31.296	  50.203	   326.187	   500.778	   204	  14.528	   9.144	  28.199	  46.934	   291.106	   469.595	    25	  71.482	  14.751	  56.563	  67.561	   612.449	   649.117	[22.9/22.9]	8	7.8	0.2	
 233- 461	  63.931	  46.870	  46.120	  86.268	   504.222	   894.755	   146	  33.534	  27.442	  40.299	  84.682	   520.048	   988.622	    83	 117.399	  15.414	  56.358	  88.578	   476.382	   704.635	[22.9/22.9]	8.3	4	4.3	
 462- 690	  77.665	  52.475	  58.736	  98.877	   569.400	   895.766	   121	  35.066	  31.000	  54.884	 104.240	   500.905	   869.598	   108	 125.392	  20.944	  63.051	  92.795	   646.140	   922.202	[22.9/22.9]	7.4	4.5	2.9	

