#EXP	Sun Feb 27 17:41:09 2000		S:\MOUSE PARADIGM 2004\sample_data\106a.out [skipped records from 0 to 3]
"G R O U P"	" M.DIST  "	"   SD    "	"M.V(pix/s)"	"   SD    "	"M.A(pix/s^2)"	"   SD   "	"N:sub1"	"M.DIST1"	"   SD   "	"M.V(pix/s)1"	"   SD   "	"M.A(pix/s^2)1"	"   SD  "	"N:sub2"	"M.DIST2"	"   SD   "	"M.V(pix/s)2"	"   SD   "	"M.A(pix/s^2)2"	"   SD  "	"WHOLE TIME"	"REST TIME"	"REST TIME 1"	"REST TIME 2"	
   4-1989	 130.784	 147.136	 170.185	 244.405	  1589.600	  2153.488	  1651	  75.457	  81.583	 155.729	 231.427	  1452.422	  1999.753	   335	 403.455	  77.959	 241.429	 290.341	  2265.659	  2693.366	[198.6/198.6]	21.5	20.6	0.9	
   4- 665	 166.624	 188.496	 200.763	 305.837	  1968.033	  2730.035	   477	  58.357	  72.380	 173.521	 287.698	  1677.056	  2529.045	   185	 445.777	  73.144	 271.001	 339.137	  2718.284	  3072.888	[66.2/66.2]	10	9.1	0.9	
 666-1327	 123.871	 122.158	 174.796	 232.704	  1552.285	  1962.373	   521	  69.129	  64.897	 160.670	 225.414	  1458.489	  1905.551	   141	 326.142	  49.550	 226.992	 251.903	  1898.866	  2130.972	[66.2/66.2]	4.9	4.8	0.1	
1328-1989	 101.857	 111.295	 134.996	 171.748	  1248.480	  1536.622	   567	  65.355	  68.276	 126.026	 162.258	  1197.323	  1444.527	    95	 319.717	  55.029	 188.532	 213.343	  1553.808	  1982.283	[66.2/66.2]	6.6	6.6	0	

