#EXP	Sat Feb 26 14:57:56 2000		S:\MOUSE PARADIGM 2004\sample_data\100a.out [skipped records from 0 to 3]
"G R O U P"	" M.DIST  "	"   SD    "	"M.V(pix/s)"	"   SD    "	"M.A(pix/s^2)"	"   SD   "	"N:sub1"	"M.DIST1"	"   SD   "	"M.V(pix/s)1"	"   SD   "	"M.A(pix/s^2)1"	"   SD  "	"N:sub2"	"M.DIST2"	"   SD   "	"M.V(pix/s)2"	"   SD   "	"M.A(pix/s^2)2"	"   SD  "	"WHOLE TIME"	"REST TIME"	"REST TIME 1"	"REST TIME 2"	
   4-2001	  78.011	  24.209	  53.413	  70.189	   447.157	   597.620	  1349	  65.141	  15.061	  47.158	  65.156	   398.956	   536.885	   649	 104.763	  16.515	  66.415	  78.105	   547.347	   697.243	[199.8/199.8]	50.3	38.2	12.1	
   4- 669	  71.174	  25.269	  34.123	  46.259	   255.695	   347.173	   540	  62.432	  18.016	  25.184	  37.821	   202.877	   310.461	   126	 108.641	  15.884	  72.432	  58.236	   482.055	   402.366	[66.6/66.6]	20.6	20.4	0.2	
 670-1335	  73.588	  16.107	  58.146	  69.329	   500.997	   607.485	   493	  66.266	  10.468	  52.699	  62.953	   446.243	   539.079	   173	  94.452	   9.902	  73.668	  83.187	   657.030	   749.969	[66.6/66.6]	14.5	11.5	3	
1336-2001	  89.271	  25.859	  67.971	  85.091	   584.780	   724.134	   308	  67.647	  14.910	  75.603	  88.529	   646.876	   693.861	   358	 107.875	  17.433	  61.405	  81.572	   531.356	   746.032	[66.6/66.6]	15.2	6.3	8.9	

