#EXP	Sun Feb 27 16:14:09 2000		
X	Y	TIME	CLICK
512	384	0	0
503	350	0.1	0
502	335	0.2	0
500	338	0.3	0
499	346	0.4	0
501	364	0.5	0
501	365	0.6	0
501	365	0.7	0
501	366	0.8	0
504	382	0.9	0
505	382	1	0
507	378	1.1	0
508	373	1.2	0
508	372	1.3	0
507	369	1.4	0
505	368	1.5	0
497	368	1.6	0
491	370	1.7	0
491	376	1.8	0
500	385	1.9	0
501	387	2	0
501	387	2.1	0
501	387	2.2	0
501	386	2.3	0
502	384	2.4	0
503	383	2.5	0
504	382	2.6	0
504	382	2.7	0
504	382	2.8	0
504	382	2.9	0
504	381	3	0
504	381	3.1	0
504	381	3.2	0
504	381	3.3	0
505	381	3.4	0
505	381	3.5	0
505	381	3.6	0
505	381	3.7	0
505	381	3.8	0
505	381	3.9	0
505	381	4	0
505	381	4.1	0
505	381	4.2	0
505	381	4.3	0
505	381	4.4	0
506	380	4.5	0
506	380	4.6	0
506	380	4.7	0
507	378	4.8	0
507	377	4.9	0
509	374	5	0
513	369	5.1	0
530	359	5.2	0
530	359	5.3	0
530	359	5.4	0
532	357	5.5	0
533	355	5.6	0
557	342	5.7	0
558	340	5.8	0
558	340	5.9	0
559	338	6	0
564	336	6.1	0
564	336	6.2	0
564	352	6.3	0
564	354	6.4	0
564	358	6.5	0
561	362	6.6	0
531	363	6.7	0
525	363	6.8	0
525	363	6.9	0
538	363	7	0
541	361	7.1	0
552	358	7.2	0
561	357	7.3	0
568	355	7.4	0
580	354	7.5	0
586	354	7.6	0
587	354	7.7	0
588	354	7.8	0
597	354	7.9	0
599	354	8	0
602	354	8.1	0
603	354	8.2	0
603	356	8.3	0
597	360	8.4	0
573	365	8.5	0
556	370	8.6	0
546	372	8.7	0
537	372	8.8	0
529	379	8.9	0
526	385	9	0
525	395	9.1	0
528	396	9.2	0
538	394	9.3	0
538	380	9.4	0
538	376	9.5	0
537	373	9.6	0
532	370	9.7	0
525	369	9.8	0
501	377	9.9	0
501	377	10	0
502	385	10.1	0
503	387	10.2	0
506	387	10.3	0
509	387	10.4	0
511	387	10.5	0
512	387	10.6	0
514	387	10.7	0
516	385	10.8	0
519	383	10.9	0
521	382	11	0
522	380	11.1	0
522	380	11.2	0
522	380	11.3	0
522	380	11.4	0
521	380	11.5	0
521	380	11.6	0
521	383	11.7	0
521	385	11.8	0
522	386	11.9	0
525	386	12	0
526	386	12.1	0
534	380	12.2	0
523	352	12.3	0
508	373	12.4	0
523	402	12.5	0
527	383	12.6	0
512	361	12.7	0
509	373	12.8	0
511	398	12.9	0
514	377	13	0
514	374	13.1	0
504	394	13.2	0
504	406	13.3	0
505	390	13.4	0
505	383	13.5	0
505	383	13.6	0
505	383	13.7	0
505	383	13.8	0
505	383	13.9	0
505	383	14	0
505	383	14.1	0
505	383	14.2	0
505	383	14.3	0
505	383	14.4	0
505	383	14.5	0
505	383	14.6	0
505	383	14.7	0
505	382	14.8	0
505	381	14.9	0
505	381	15	0
505	381	15.1	0
505	381	15.2	0
505	381	15.3	0
505	381	15.4	0
505	381	15.5	0
505	381	15.6	0
505	381	15.7	0
507	379	15.8	0
510	375	15.9	0
513	367	16	0
515	366	16.1	0
515	366	16.2	0
507	366	16.3	0
505	376	16.4	0
521	385	16.5	0
522	369	16.6	0
520	359	16.7	0
520	359	16.8	0
535	385	16.9	0
535	385	17	0
545	390	17.1	0
547	391	17.2	0
547	391	17.3	0
548	398	17.4	0
550	402	17.5	0
552	415	17.6	0
553	415	17.7	0
527	397	17.8	0
525	396	17.9	0
517	395	18	0
505	399	18.1	0
505	407	18.2	0
505	409	18.3	0
505	409	18.4	0
505	404	18.5	0
504	401	18.6	0
504	398	18.7	0
504	398	18.8	0
500	386	18.9	0
500	384	19	0
500	382	19.1	0
500	378	19.2	0
507	366	19.3	0
515	374	19.4	0
518	405	19.5	0
491	395	19.6	0
490	384	19.7	0
496	383	19.8	0
498	401	19.9	0
498	403	20	0
499	383	20.1	0
499	381	20.2	0
500	391	20.3	0
504	377	20.4	0
504	377	20.5	0
504	384	20.6	0
507	377	20.7	0
507	377	20.8	0
507	377	20.9	0
507	377	21	0
507	377	21.1	0
507	377	21.2	0
507	377	21.3	0
508	377	21.4	0
508	377	21.5	0
508	377	21.6	0
508	377	21.7	0
508	377	21.8	0
508	377	21.9	0
508	377	22	0
508	377	22.1	0
508	377	22.2	0
508	377	22.3	0
508	377	22.4	0
508	377	22.5	0
508	377	22.6	0
508	377	22.7	0
508	377	22.8	0
508	377	22.9	0
506	377	23	0
506	378	23.1	0
506	380	23.2	0
508	382	23.3	0
509	383	23.4	0
512	383	23.5	0
512	383	23.6	0
512	381	23.7	0
512	378	23.8	0
512	378	23.9	0
512	378	24	0
509	378	24.1	0
509	378	24.2	0
508	382	24.3	0
508	383	24.4	0
508	383	24.5	0
514	385	24.6	0
515	385	24.7	0
515	378	24.8	0
515	375	24.9	0
515	375	25	0
512	375	25.1	0
508	377	25.2	0
507	384	25.3	0
507	394	25.4	0
507	394	25.5	0
517	396	25.6	0
517	396	25.7	0
517	393	25.8	0
517	392	25.9	0
516	390	26	0
512	390	26.1	0
511	390	26.2	0
510	391	26.3	0
509	394	26.4	0
510	396	26.5	0
511	404	26.6	0
511	405	26.7	0
512	407	26.8	0
512	407	26.9	0
513	408	27	0
513	408	27.1	0
513	408	27.2	0
517	416	27.3	0
518	417	27.4	0
519	418	27.5	0
519	418	27.6	0
513	412	27.7	0
513	410	27.8	0
513	409	27.9	0
512	408	28	0
512	392	28.1	0
512	392	28.2	0
522	393	28.3	0
541	413	28.4	0
542	414	28.5	0
549	414	28.6	0
549	414	28.7	0
521	400	28.8	0
520	400	28.9	0
518	398	29	0
516	393	29.1	0
515	391	29.2	0
515	388	29.3	0
516	384	29.4	0
524	382	29.5	0
534	383	29.6	0
533	383	29.7	0
522	385	29.8	0
519	388	29.9	0
517	390	30	0
514	394	30.1	0
514	397	30.2	0
514	397	30.3	0
514	386	30.4	0
514	386	30.5	0
514	385	30.6	0
514	384	30.7	0
514	381	30.8	0
514	406	30.9	0
531	390	31	0
528	357	31.1	0
519	381	31.2	0
524	397	31.3	0
536	385	31.4	0
508	368	31.5	0
506	399	31.6	0
510	408	31.7	0
521	397	31.8	0
510	388	31.9	0
509	414	32	0
513	418	32.1	0
514	419	32.2	0
514	419	32.3	0
514	419	32.4	0
518	432	32.5	0
519	441	32.6	0
520	443	32.7	0
520	442	32.8	0
520	434	32.9	0
519	426	33	0
517	425	33.1	0
517	424	33.2	0
517	424	33.3	0
517	424	33.4	0
516	424	33.5	0
516	424	33.6	0
516	426	33.7	0
516	427	33.8	0
516	429	33.9	0
516	430	34	0
516	431	34.1	0
516	432	34.2	0
516	432	34.3	0
516	432	34.4	0
516	434	34.5	0
523	443	34.6	0
524	446	34.7	0
524	446	34.8	0
524	446	34.9	0
524	446	35	0
524	446	35.1	0
526	447	35.2	0
526	448	35.3	0
526	449	35.4	0
529	452	35.5	0
529	452	35.6	0
529	452	35.7	0
535	454	35.8	0
542	456	35.9	0
542	468	36	0
540	483	36.1	0
538	488	36.2	0
536	491	36.3	0
534	491	36.4	0
531	485	36.5	0
521	481	36.6	0
520	479	36.7	0
519	469	36.8	0
519	468	36.9	0
522	468	37	0
540	474	37.1	0
572	483	37.2	0
577	487	37.3	0
579	510	37.4	0
583	549	37.5	0
573	537	37.6	0
540	463	37.7	0
539	461	37.8	0
540	475	37.9	0
546	505	38	0
551	527	38.1	0
551	527	38.2	0
545	540	38.3	0
523	536	38.4	0
518	528	38.5	0
518	512	38.6	0
518	484	38.7	0
521	463	38.8	0
521	463	38.9	0
521	463	39	0
521	463	39.1	0
521	463	39.2	0
521	463	39.3	0
521	463	39.4	0
521	463	39.5	0
521	463	39.6	0
521	463	39.7	0
491	471	39.8	0
491	471	39.9	0
491	471	40	0
489	505	40.1	0
455	510	40.2	0
447	496	40.3	0
453	476	40.4	0
455	476	40.5	0
485	496	40.6	0
489	503	40.7	0
501	510	40.8	0
525	512	40.9	0
530	497	41	0
522	494	41.1	0
498	516	41.2	0
493	528	41.3	0
480	519	41.4	0
480	501	41.5	0
489	494	41.6	0
491	494	41.7	0
492	494	41.8	0
493	494	41.9	0
493	494	42	0
493	494	42.1	0
493	494	42.2	0
493	494	42.3	0
493	494	42.4	0
493	494	42.5	0
493	494	42.6	0
493	494	42.7	0
493	494	42.8	0
493	494	42.9	0
493	494	43	0
493	494	43.1	0
