#EXP	Sun Feb 27 17:41:09 2000		
X	Y	TIME	CLICK
512	384	0	0
512	365	0.1	0
512	365	0.2	0
512	365	0.3	0
512	365	0.4	0
512	365	0.5	0
512	365	0.6	0
512	365	0.7	0
512	365	0.8	0
512	377	0.9	0
512	377	1	0
512	377	1.1	0
512	377	1.2	0
512	377	1.3	0
512	377	1.4	0
512	377	1.5	0
512	377	1.6	0
512	377	1.7	0
512	377	1.8	0
512	377	1.9	0
512	377	2	0
512	377	2.1	0
512	377	2.2	0
512	377	2.3	0
512	377	2.4	0
512	377	2.5	0
512	377	2.6	0
512	377	2.7	0
512	377	2.8	0
512	377	2.9	0
512	377	3	0
512	377	3.1	0
522	391	3.2	0
545	423	3.3	0
556	432	3.4	0
557	432	3.5	0
555	422	3.6	0
559	422	3.7	0
619	453	3.8	0
619	453	3.9	0
631	473	4	0
685	537	4.1	0
819	609	4.2	0
889	649	4.3	0
906	675	4.4	0
907	688	4.5	0
907	689	4.6	0
907	689	4.7	0
905	690	4.8	0
890	691	4.9	0
889	691	5	0
889	673	5.1	0
894	633	5.2	0
894	633	5.3	0
948	623	5.4	0
968	622	5.5	0
959	568	5.6	0
952	566	5.7	0
950	558	5.8	0
950	558	5.9	0
981	502	6	0
999	430	6.1	0
999	418	6.2	0
997	416	6.3	0
994	415	6.4	0
958	399	6.5	0
942	377	6.6	0
911	357	6.7	0
877	329	6.8	0
868	322	6.9	0
868	322	7	0
868	322	7.1	0
820	352	7.2	0
710	428	7.3	0
687	376	7.4	0
553	332	7.5	0
547	332	7.6	0
567	380	7.7	0
515	385	7.8	0
513	385	7.9	0
513	385	8	0
521	389	8.1	0
521	389	8.2	0
533	391	8.3	0
533	391	8.4	0
533	391	8.5	0
533	391	8.6	0
534	391	8.7	0
534	393	8.8	0
534	420	8.9	0
529	429	9	0
526	429	9.1	0
496	387	9.2	0
495	371	9.3	0
503	371	9.4	0
538	392	9.5	0
562	405	9.6	0
574	413	9.7	0
584	424	9.8	0
584	424	9.9	0
628	531	10	0
734	540	10.1	0
770	543	10.2	0
748	521	10.3	0
612	441	10.4	0
536	387	10.5	0
521	371	10.6	0
493	371	10.7	0
520	393	10.8	0
521	394	10.9	0
524	384	11	0
521	371	11.1	0
505	368	11.2	0
504	382	11.3	0
508	397	11.4	0
538	397	11.5	0
538	395	11.6	0
518	386	11.7	0
516	385	11.8	0
512	385	11.9	0
491	383	12	0
501	383	12.1	0
518	386	12.2	0
628	450	12.3	0
702	479	12.4	0
786	505	12.5	0
810	523	12.6	0
895	617	12.7	0
896	690	12.8	0
890	715	12.9	0
892	685	13	0
932	668	13.1	0
935	668	13.2	0
915	670	13.3	0
915	663	13.4	0
915	663	13.5	0
916	671	13.6	0
925	677	13.7	0
929	639	13.8	0
929	639	13.9	0
917	634	14	0
917	634	14.1	0
917	634	14.2	0
925	634	14.3	0
925	634	14.4	0
925	634	14.5	0
853	636	14.6	0
826	604	14.7	0
826	604	14.8	0
862	688	14.9	0
862	708	15	0
838	656	15.1	0
838	655	15.2	0
835	653	15.3	0
779	624	15.4	0
723	570	15.5	0
720	468	15.6	0
720	456	15.7	0
860	598	15.8	0
998	669	15.9	0
976	655	16	0
910	599	16.1	0
865	580	16.2	0
872	628	16.3	0
881	718	16.4	0
878	697	16.5	0
872	589	16.6	0
912	533	16.7	0
914	525	16.8	0
911	522	16.9	0
902	545	17	0
902	635	17.1	0
900	721	17.2	0
881	729	17.3	0
853	712	17.4	0
844	703	17.5	0
782	623	17.6	0
766	607	17.7	0
766	607	17.8	0
760	601	17.9	0
715	581	18	0
689	580	18.1	0
633	608	18.2	0
611	640	18.3	0
565	650	18.4	0
510	648	18.5	0
501	630	18.6	0
501	630	18.7	0
507	640	18.8	0
508	648	18.9	0
529	602	19	0
625	665	19.1	0
670	662	19.2	0
664	636	19.3	0
625	620	19.4	0
541	544	19.5	0
502	492	19.6	0
530	512	19.7	0
578	562	19.8	0
626	598	19.9	0
698	642	20	0
736	654	20.1	0
744	655	20.2	0
682	637	20.3	0
598	579	20.4	0
567	467	20.5	0
549	450	20.6	0
479	413	20.7	0
472	347	20.8	0
500	347	20.9	0
525	373	21	0
524	385	21.1	0
515	403	21.2	0
525	433	21.3	0
529	450	21.4	0
524	390	21.5	0
511	386	21.6	0
489	385	21.7	0
472	383	21.8	0
492	383	21.9	0
534	386	22	0
534	386	22.1	0
525	389	22.2	0
504	389	22.3	0
501	388	22.4	0
501	386	22.5	0
501	385	22.6	0
501	385	22.7	0
519	385	22.8	0
523	386	22.9	0
523	387	23	0
523	388	23.1	0
523	388	23.2	0
522	385	23.3	0
522	382	23.4	0
522	380	23.5	0
522	379	23.6	0
546	380	23.7	0
546	380	23.8	0
545	385	23.9	0
509	388	24	0
509	388	24.1	0
521	388	24.2	0
533	393	24.3	0
532	396	24.4	0
514	394	24.5	0
507	390	24.6	0
507	390	24.7	0
507	390	24.8	0
485	385	24.9	0
476	384	25	0
486	404	25.1	0
520	432	25.2	0
547	435	25.3	0
549	412	25.4	0
581	423	25.5	0
619	455	25.6	0
653	481	25.7	0
663	483	25.8	0
657	484	25.9	0
549	426	26	0
521	403	26.1	0
519	382	26.2	0
607	442	26.3	0
629	455	26.4	0
697	479	26.5	0
765	525	26.6	0
765	525	26.7	0
755	526	26.8	0
705	516	26.9	0
579	463	27	0
541	395	27.1	0
522	375	27.2	0
480	392	27.3	0
480	413	27.4	0
555	457	27.5	0
541	385	27.6	0
485	360	27.7	0
474	359	27.8	0
488	367	27.9	0
498	377	28	0
522	386	28.1	0
525	388	28.2	0
531	412	28.3	0
489	413	28.4	0
482	408	28.5	0
489	370	28.6	0
491	355	28.7	0
524	353	28.8	0
532	353	28.9	0
532	353	29	0
536	377	29.1	0
556	398	29.2	0
561	413	29.3	0
537	413	29.4	0
483	411	29.5	0
457	411	29.6	0
439	409	29.7	0
426	400	29.8	0
470	392	29.9	0
475	390	30	0
481	373	30.1	0
481	359	30.2	0
479	345	30.3	0
477	343	30.4	0
478	345	30.5	0
502	369	30.6	0
504	370	30.7	0
504	370	30.8	0
505	370	30.9	0
534	376	31	0
563	379	31.1	0
565	366	31.2	0
551	367	31.3	0
513	368	31.4	0
511	368	31.5	0
541	394	31.6	0
493	392	31.7	0
485	391	31.8	0
513	413	31.9	0
515	414	32	0
529	415	32.1	0
529	412	32.2	0
529	394	32.3	0
528	374	32.4	0
528	374	32.5	0
522	373	32.6	0
472	367	32.7	0
471	367	32.8	0
493	389	32.9	0
495	397	33	0
497	405	33.1	0
501	418	33.2	0
514	441	33.3	0
514	442	33.4	0
514	438	33.5	0
514	435	33.6	0
514	413	33.7	0
514	394	33.8	0
514	394	33.9	0
514	392	34	0
500	391	34.1	0
493	388	34.2	0
486	379	34.3	0
512	377	34.4	0
513	377	34.5	0
502	374	34.6	0
