#EXP	Thu Jun 15 13:49:07 2000output.out [skipped records from 0 to 3]
"G R O U P"	" M.DIST  "	"   SD    "	"M.V(pix/s)"	"   SD    "	"M.A(pix/s^2)"	"   SD   "	"N:sub1"	"{ M.DIST"	"   SD   "	"M.V(pix/s)"	"   SD   "	"M.A(pix/s^2)"	"   SD  }"	"N:sub2"	"{ M.DIST"	"   SD   "	"M.V(pix/s)"	"   SD   "	"M.A(pix/s^2)"	"   SD  }"	"WHOLE TIME"	"REST TIME"	"<-REST TIME FOR DISTANCE GROUPS->"	
{   4-  18}	 251.524	 136.331	 814.328	 767.891	  7860.829	  7216.885	     8	 146.920	  82.334	 534.395	 573.194	  5481.529	  3881.738	     7	 371.071	  64.777	1134.252	 876.734	 10580.028	  9368.796	[1.5/1.5]	0.1	0.1	0	
{   4-   8}	 274.054	 119.516	 897.399	1031.827	 11473.341	 11039.793	     1	  72.173	 -99.000	 531.734	 -99.000	  5317.340	   -99.000	     4	 324.524	  45.429	 988.816	1167.837	 13012.341	 12112.496	[0.5/0.5]	0	0	0	
{   9-  13}	 346.587	 115.627	 812.552	 587.465	  6021.491	  2892.519	     2	 234.156	  45.706	 359.951	 405.080	  6178.575	   636.226	     3	 421.541	  68.020	1114.285	 516.500	  5916.769	  4060.765	[0.5/0.5]	0	0	0	
{  14-  18}	 133.930	  90.450	 733.034	 798.201	  6087.654	  5251.322	     4	  93.937	  15.675	 571.792	 822.296	  5469.831	  5850.112	     1	 293.900	 -99.000	1378.005	 -99.000	  8558.946	   -99.000	[0.5/0.5]	0.1	0.1	0	
