#EXP	Thu Mar 25 00:22:30 1999 [skipped records from 0 to 0]
"  TIME  "	"CLIK"	"DISTANCE"	"V(pix/sec)"	A(pix/sec^2)
  13.400	  0	 317.166	 217.845	  3410.344
  13.500	  0	 259.422	 577.431	  3595.868
  13.600	  0	 198.829	 605.934	   285.022
  13.700	  0	 237.413	 385.841	  2200.928
  13.800	  0	 199.123	 382.901	    29.401
  13.900	  0	 103.470	 956.533	  5736.320
  14.000	  0	 292.659	1891.887	  9353.543
  14.100	  0	 320.301	 276.429	 16154.579
  14.200	  0	 397.020	 767.187	  4907.581
  14.300	  0	 354.696	 423.245	  3439.423
  14.400	  0	 211.256	1434.399	 10111.539
  14.500	  0	 165.276	 459.802	  9745.964
  14.600	  0	 187.385	 221.091	  2387.114
  14.700	  0	 276.509	 891.239	  6701.485
  14.800	  0	 275.073	  14.359	  8768.810
  14.900	  0	 131.594	1434.787	 14204.280
  15.000	  0	 263.941	1323.472	  1113.144
  15.100	  0	 215.724	 482.169	  8413.029
  15.200	  0	 310.177	 944.530	  4623.608
  15.300	  0	 257.498	 526.798	  4177.319
  15.400	  0	 366.072	1085.748	  5589.502
  15.500	  0	 367.325	  12.531	 10732.175
  15.600	  0	 383.885	 165.599	  1530.685
  15.700	  0	 327.231	 566.546	  4009.467
  15.800	  0	 392.552	 653.211	   866.650
  15.900	  0	 510.240	1176.882	  5236.713
  16.000	  0	 491.554	 186.865	  9900.174
  16.100	  0	 520.601	 290.469	  1036.044
  16.200	  0	 425.102	 954.983	  6645.132
  16.300	  0	 441.249	 161.470	  7935.123
  16.400	  0	 436.555	  46.947	  1145.236
  16.500	  0	 431.856	  46.982	     0.357
  16.600	  0	 372.302	 595.541	  5485.590
  16.700	  0	 398.102	 257.994	  3375.470
  16.800	  0	 297.135	1009.671	  7516.766
  16.900	  0	 267.255	 298.801	  7108.701
  17.000	  0	 224.511	 427.440	  1286.388
  17.100	  0	 193.807	 307.040	  1204.001
  17.200	  0	 146.328	 474.782	  1677.425
  17.300	  0	 177.539	 312.103	  1626.788
  17.400	  0	 177.539	   0.000	  3121.033
  17.500	  0	 177.539	   0.000	     0.000
  17.600	  0	 262.795	 852.559	  8525.586
  17.700	  0	 262.795	   0.000	  8525.586
  17.800	  0	 262.795	   0.000	     0.000
  17.900	  0	 314.682	 518.878	  5188.779
  18.000	  0	 379.120	 644.377	  1254.987
  18.100	  0	 379.120	   0.000	  6443.765
  18.200	  0	 463.249	 841.294	  8412.936
  18.300	  0	 598.432	1351.827	  5105.338
  18.400	  0	 546.598	 518.345	  8334.827
  18.500	  0	 502.021	 445.768	   725.772
  18.600	  0	 492.260	  97.608	  3481.595
  18.700	  0	 287.124	2051.364	 19537.564
  18.800	  0	 278.442	  86.815	 19645.490
  18.900	  0	 294.498	 160.558	   737.421
  19.000	  0	 315.431	 209.336	   487.784
  19.100	  0	 469.221	1537.892	 13285.559
  19.200	  0	 470.197	   9.761	 15281.305
  19.300	  0	 479.588	  93.916	   841.547
  19.400	  0	 490.230	 106.412	   124.957
  19.500	  0	 311.771	1784.588	 16781.763
  19.600	  0	 276.698	 350.724	 14338.644
  19.700	  0	 258.306	 183.924	  1667.999
  19.800	  0	 127.193	1311.133	 11272.090
  19.900	  0	 113.217	 139.762	 11713.711
  20.000	  0	 240.520	1273.037	 11332.750
